FEATURE,WEIGHT0
DURATION_BF_BASELINE,0.0
SMOKING,0.03605434966948012
MIN_BMI,0.0
MAX_BMI,0.0
MEDIAN_BMI,0.0
MEAN_BMI,0.0
STD_BMI,0.0
BMI_MEASURE_COUNTS,0.0
MIN_SYSTOLIC,0.0
MAX_SYSTOLIC,0.0
MEDIAN_SYSTOLIC,0.0
MEAN_SYSTOLIC,0.0
STD_SYSTOLIC,0.0
MIN_DIASTOLIC,0.0
MAX_DIASTOLIC,0.0
MEDIAN_DIASTOLIC,0.0
MEAN_DIASTOLIC,0.0
STD_DIASTOLIC,0.0
SYSTOLIC_MEASURE_COUNTS,0.0
"('%SAT', 'MAX_VALUE')",0.0
"('%SAT', 'MEAN_VALUE')",0.0
"('%SAT', 'MEASURE_COUNTS')",0.0
"('%SAT', 'MEDIAN_VALUE')",0.0
"('%SAT', 'MIN_VALUE')",0.0
"('%SAT', 'STD_VALUE')",0.0
"('125DHy', 'MAX_VALUE')",0.0
"('125DHy', 'MEAN_VALUE')",0.0
"('125DHy', 'MEASURE_COUNTS')",0.0
"('125DHy', 'MEDIAN_VALUE')",0.0
"('125DHy', 'MIN_VALUE')",0.0
"('125DHy', 'STD_VALUE')",0.0
"('25DTot', 'MAX_VALUE')",0.0
"('25DTot', 'MEAN_VALUE')",0.0
"('25DTot', 'MEASURE_COUNTS')",0.0
"('25DTot', 'MEDIAN_VALUE')",0.0
"('25DTot', 'MIN_VALUE')",0.0
"('25DTot', 'STD_VALUE')",0.0
"('25HyD2', 'MAX_VALUE')",0.0
"('25HyD2', 'MEAN_VALUE')",0.0
"('25HyD2', 'MEASURE_COUNTS')",0.0
"('25HyD2', 'MEDIAN_VALUE')",0.0
"('25HyD2', 'MIN_VALUE')",0.0
"('25HyD2', 'STD_VALUE')",0.0
"('25HyD3', 'MAX_VALUE')",0.0
"('25HyD3', 'MEAN_VALUE')",0.0
"('25HyD3', 'MEASURE_COUNTS')",0.0
"('25HyD3', 'MEDIAN_VALUE')",0.0
"('25HyD3', 'MIN_VALUE')",0.0
"('25HyD3', 'STD_VALUE')",0.0
"('A-1Gg/', 'MAX_VALUE')",0.0
"('A-1Gg/', 'MEAN_VALUE')",0.0
"('A-1Gg/', 'MEASURE_COUNTS')",0.0
"('A-1Gg/', 'MEDIAN_VALUE')",0.0
"('A-1Gg/', 'MIN_VALUE')",0.0
"('A-1Gg/', 'STD_VALUE')",0.0
"('A-2Gg/', 'MAX_VALUE')",0.0
"('A-2Gg/', 'MEAN_VALUE')",0.0
"('A-2Gg/', 'MEASURE_COUNTS')",0.0
"('A-2Gg/', 'MEDIAN_VALUE')",0.0
"('A-2Gg/', 'MIN_VALUE')",0.0
"('A-2Gg/', 'STD_VALUE')",0.0
"('AFPTum', 'MAX_VALUE')",0.0
"('AFPTum', 'MEAN_VALUE')",0.0
"('AFPTum', 'MEASURE_COUNTS')",0.0
"('AFPTum', 'MEDIAN_VALUE')",0.0
"('AFPTum', 'MIN_VALUE')",0.0
"('AFPTum', 'STD_VALUE')",0.0
"('AN-GAP', 'MAX_VALUE')",0.0
"('AN-GAP', 'MEAN_VALUE')",0.0
"('AN-GAP', 'MEASURE_COUNTS')",0.0
"('AN-GAP', 'MEDIAN_VALUE')",0.0
"('AN-GAP', 'MIN_VALUE')",0.0
"('AN-GAP', 'STD_VALUE')",0.0
"('AThyP', 'MAX_VALUE')",0.0
"('AThyP', 'MEAN_VALUE')",0.0
"('AThyP', 'MEASURE_COUNTS')",0.0
"('AThyP', 'MEDIAN_VALUE')",0.0
"('AThyP', 'MIN_VALUE')",0.0
"('AThyP', 'STD_VALUE')",0.0
"('Alb', 'MAX_VALUE')",0.0
"('Alb', 'MEAN_VALUE')",0.0
"('Alb', 'MEASURE_COUNTS')",0.0
"('Alb', 'MEDIAN_VALUE')",0.0
"('Alb', 'MIN_VALUE')",0.0
"('Alb', 'STD_VALUE')",0.0
"('AlbCnc', 'MAX_VALUE')",0.0
"('AlbCnc', 'MEAN_VALUE')",0.0
"('AlbCnc', 'MEASURE_COUNTS')",0.0
"('AlbCnc', 'MEDIAN_VALUE')",0.0
"('AlbCnc', 'MIN_VALUE')",0.0
"('AlbCnc', 'STD_VALUE')",0.0
"('AlbCre', 'MAX_VALUE')",0.0
"('AlbCre', 'MEAN_VALUE')",0.0
"('AlbCre', 'MEASURE_COUNTS')",0.0
"('AlbCre', 'MEDIAN_VALUE')",0.0
"('AlbCre', 'MIN_VALUE')",0.0
"('AlbCre', 'STD_VALUE')",0.0
"('Album', 'MAX_VALUE')",0.0
"('Album', 'MEAN_VALUE')",0.0
"('Album', 'MEASURE_COUNTS')",0.0
"('Album', 'MEDIAN_VALUE')",0.0
"('Album', 'MIN_VALUE')",0.0
"('Album', 'STD_VALUE')",0.0
"('AlkP', 'MAX_VALUE')",0.0
"('AlkP', 'MEAN_VALUE')",0.0
"('AlkP', 'MEASURE_COUNTS')",0.0
"('AlkP', 'MEDIAN_VALUE')",0.0
"('AlkP', 'MIN_VALUE')",0.0
"('AlkP', 'STD_VALUE')",0.0
"('Amyl', 'MAX_VALUE')",0.0
"('Amyl', 'MEAN_VALUE')",0.0
"('Amyl', 'MEASURE_COUNTS')",0.0
"('Amyl', 'MEDIAN_VALUE')",0.0
"('Amyl', 'MIN_VALUE')",0.0
"('Amyl', 'STD_VALUE')",0.0
"('AntDNA', 'MAX_VALUE')",0.0
"('AntDNA', 'MEAN_VALUE')",0.0
"('AntDNA', 'MEASURE_COUNTS')",0.0
"('AntDNA', 'MEDIAN_VALUE')",0.0
"('AntDNA', 'MIN_VALUE')",0.0
"('AntDNA', 'STD_VALUE')",0.0
"('AtyLym', 'MAX_VALUE')",0.0
"('AtyLym', 'MEAN_VALUE')",0.0
"('AtyLym', 'MEASURE_COUNTS')",0.0
"('AtyLym', 'MEDIAN_VALUE')",0.0
"('AtyLym', 'MIN_VALUE')",0.0
"('AtyLym', 'STD_VALUE')",0.0
"('BASOA', 'MAX_VALUE')",0.0
"('BASOA', 'MEAN_VALUE')",0.0
"('BASOA', 'MEASURE_COUNTS')",0.0
"('BASOA', 'MEDIAN_VALUE')",0.0
"('BASOA', 'MIN_VALUE')",0.0
"('BASOA', 'STD_VALUE')",0.0
"('BASOAB', 'MAX_VALUE')",0.0
"('BASOAB', 'MEAN_VALUE')",0.0
"('BASOAB', 'MEASURE_COUNTS')",0.0
"('BASOAB', 'MEDIAN_VALUE')",0.0
"('BASOAB', 'MIN_VALUE')",0.0
"('BASOAB', 'STD_VALUE')",0.0
"('BASOM', 'MAX_VALUE')",0.0
"('BASOM', 'MEAN_VALUE')",0.0
"('BASOM', 'MEASURE_COUNTS')",0.0
"('BASOM', 'MEDIAN_VALUE')",0.0
"('BASOM', 'MIN_VALUE')",0.0
"('BASOM', 'STD_VALUE')",0.0
"('BASORE', 'MAX_VALUE')",0.0
"('BASORE', 'MEAN_VALUE')",0.0
"('BASORE', 'MEASURE_COUNTS')",0.0
"('BASORE', 'MEDIAN_VALUE')",0.0
"('BASORE', 'MIN_VALUE')",0.0
"('BASORE', 'STD_VALUE')",0.0
"('BAbs', 'MAX_VALUE')",0.0
"('BAbs', 'MEAN_VALUE')",0.0
